Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Chiều ngang,Chiều dài,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Giấy tờ pháp lý
"8,5 tỷ","Đường Trần Bình Trọng, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",56 m²,N/A,N/A,4 phòng,3 phòng,N/A,Đã có sổ
9 tỷ,"213/12, Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",48 m²,5 m,9.6 m,3 phòng,2 phòng,N/A,Đã có sổ
"3,98 tỷ","Đường Trần Hưng Đạo, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",20 m²,3 m,6 m,2 phòng,3 phòng,3,Đã có sổ
"30,8 tỷ","Đường Bùi Hữu Nghĩa, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",120 m²,4.5 m,19 m,6 phòng,N/A,N/A,Đã có sổ
"9,9 tỷ","Đường Trần Thánh Tông, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng","Nhà mặt phố, mặt tiền",91 m²,5 m,N/A,4 phòng,4 phòng,4,Đã có sổ
"11,75 tỷ","Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",58 m²,4 m,14.5 m,4 phòng,4 phòng,3,Đã có sổ
"2,55 tỷ","Đường Lê Hồng Phong, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",20 m²,N/A,N/A,3 phòng,3 phòng,3,Đã có sổ
16 tỷ,"Đường Nguyễn Tri Phương, Phường 6, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",50 m²,4.3 m,11 m,8 phòng,6 phòng,7,Đã có sổ
"2,125 tỷ","Đường Bùi Hữu Nghĩa, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",12 m²,N/A,12 m,3 phòng,3 phòng,N/A,Đã có sổ
"19,5 tỷ","Đường Nguyễn Tri Phương, Phường 6, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",47.3 m²,4.3 m,11 m,5 phòng,4 phòng,4,Đã có sổ
13 tỷ,"Đường Nguyễn Tri Phương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",52 m²,N/A,N/A,6 phòng,N/A,N/A,Đã có sổ
"3,88 tỷ","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,4 m,7.5 m,4 phòng,4 phòng,4,Đã có sổ
23 tỷ,"Đường Nguyễn Trãi, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",100 m²,5 m,23 m,5 phòng,5 phòng,N/A,Đã có sổ
"4,9 tỷ","Đường Lê Hồng Phong, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",39 m²,N/A,N/A,2 phòng,N/A,2,Đã có sổ
"6,58 tỷ","Đường Trần Hưng Đạo, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",39 m²,N/A,N/A,4 phòng,3 phòng,N/A,Đã có sổ
"11,9 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",58 m²,4 m,14.5 m,4 phòng,4 phòng,4,Đã có sổ
"9,5 tỷ","Đường Nguyễn Tri Phương, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",43.2 m²,3.6 m,12 m,4 phòng,5 phòng,5,Đã có sổ
"8,6 tỷ","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",52 m²,3.8 m,12 m,2 phòng,2 phòng,1,Đã có sổ
5 tỷ,"Đường Lê Hồng Phong, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,4 m,9.5 m,2 phòng,2 phòng,2,Đã có sổ
"1,85 tỷ","Đường Nguyễn Trãi, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",12 m²,N/A,N/A,3 phòng,N/A,N/A,Đã có sổ
"9,5 tỷ","Đường Lê Hồng Phong, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",51 m²,3 m,17 m,4 phòng,N/A,5,Đã có sổ
"12,5 tỷ","Đường An Dương Vương, Phường 9, Quận 5, Tp Hồ Chí Minh",Nhà phố liền kề,50 m²,4 m,12.5 m,5 phòng,4 phòng,N/A,Đã có sổ
"16,5 tỷ","Đường Lê Hồng Phong, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",46 m²,3.45 m,15 m,3 phòng,2 phòng,2,Đã có sổ
"10,8 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",43 m²,N/A,N/A,4 phòng,N/A,N/A,Đã có sổ
8 tỷ,"Đường Võ Văn Kiệt, Phường 10, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",21 m²,3.7 m,5.8 m,3 phòng,3 phòng,4,Đã có sổ
11 tỷ,"Đường An Dương Vương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",52 m²,4 m,13 m,3 phòng,N/A,N/A,Đã có sổ
"27,4 tỷ","Đường An Dương Vương, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",117 m²,5.2 m,22 m,4 phòng,4 phòng,3,Đã có sổ
"4,6 tỷ","Đường Nguyễn Văn Cừ, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",24.5 m²,3.5 m,7 m,3 phòng,N/A,4,Đã có sổ
"5,95 tỷ","Đường Cao Đạt, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",52.8 m²,4.4 m,12 m,4 phòng,4 phòng,N/A,Đã có sổ
"14,5 tỷ","1205, Yết Kiêu, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",64 m²,4 m,12 m,4 phòng,4 phòng,4,Đã có sổ
"10,2 tỷ","Trần Bình Trọng, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",56.6 m²,4 m,12 m,4 phòng,5 phòng,3,Đã có sổ
"14,5 tỷ","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",68 m²,4 m,17 m,4 phòng,5 phòng,4,Đã có sổ
"2,65 tỷ","Đường Lý Thường Kiệt, Phường 12, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,N/A,N/A,4 phòng,N/A,N/A,Đã có sổ
